year,kospi_krw_close,nasdaq_usd_close
2014,1915.59,4736.05
2015,1961.31,5007.41
2016,2026.46,5383.12
2017,2467.49,6903.39
2018,2041.04,6635.28
2019,2197.67,8972.6
2020,2873.47,12888.28
2021,2977.65,15644.97
2022,2236.4,10466.48
2023,2655.28,15011.35
2024,2399.49,19310.79
