observation_date,nasdaq_usd_close,krw_per_usd
2023-12-29,15011.35,1290.97
2024-01-31,15164.01,1334.9
2024-02-29,16091.92,1336.19
2024-03-28,16379.46,1346.01
2024-04-30,15657.82,1381.92
2024-05-31,16735.02,1385.43
2024-06-28,17732.6,1376.55
2024-07-31,17599.4,1369.29
2024-08-30,17713.62,1336
2024-09-30,18189.17,1314.94
2024-10-31,18095.15,1377.57
2024-11-29,19218.17,1396.99
2024-12-31,19310.79,1477.86
